[[5644799035.0], [10.5], [1161114004.0], [122.0], [1.492332519e+18], [0.3126060200533333]],[-0.504297994269341],-0.1567312
[[5644799037.0], [9.0], [1161114004.0], [122.0], [1.492332519e+18], [0.3126060200533333]],[-0.8051575931232091],-0.1567312
[[5644805076.0], [8.0], [1161114004.0], [122.0], [1.492332643e+18], [0.34705046449777777]],[-1.005730659025788],-0.1567312
[[5644808643.0], [9.0], [1161114004.0], [122.0], [1.492332715e+18], [0.3670504644977778]],[-0.8051575931232091],-0.1567312
[[5644808646.0], [11.0], [1161114004.0], [122.0], [1.492332716e+18], [0.36732824227555555]],[-0.40401146131805155],-0.1567312
[[5644808716.0], [13.5], [1161114004.0], [122.0], [1.492332717e+18], [0.3676060200533333]],[0.09742120343839543],-0.1567312
[[5644808713.0], [12.0], [1161114004.0], [122.0], [1.492332717e+18], [0.3676060200533333]],[-0.20343839541547276],-0.1567312
[[5644808718.0], [15.0], [1161114004.0], [122.0], [1.492332718e+18], [0.36788379783111114]],[0.3982808022922636],-0.1567312
[[5644808867.0], [16.0], [1161114004.0], [122.0], [1.492332719e+18], [0.3681615756088889]],[0.5988538681948424],-0.1567312
[[5644808870.0], [17.0], [1161114004.0], [122.0], [1.492332721e+18], [0.36871713116444443]],[0.7994269340974212],-0.1567312
[[5644811233.0], [16.0], [1161114004.0], [122.0], [1.492332767e+18], [0.3814949089422222]],[0.5988538681948424],-0.1567312
[[5644816197.0], [15.0], [1161114004.0], [122.0], [1.492332867e+18], [0.40927268672]],[0.3982808022922636],-0.1567312
[[5644816330.0], [12.5], [1161114004.0], [122.0], [1.492332868e+18], [0.40955046449777777]],[-0.10315186246418337],-0.1567312
[[5644816327.0], [13.5], [1161114004.0], [122.0], [1.492332868e+18], [0.40955046449777777]],[0.09742120343839543],-0.1567312
[[5644816332.0], [11.0], [1161114004.0], [122.0], [1.492332869e+18], [0.40982824227555553]],[-0.40401146131805155],-0.1567312
[[5644816450.0], [9.5], [1161114004.0], [122.0], [1.49233287e+18], [0.41010602005333335]],[-0.7048710601719198],-0.1567312
[[5644816452.0], [8.5], [1161114004.0], [122.0], [1.49233287e+18], [0.41010602005333335]],[-0.9054441260744985],-0.1567312
[[5644826625.0], [11.5], [1161114004.0], [122.0], [1.492333083e+18], [0.46927268672]],[-0.3037249283667622],-0.1567312
[[5644826623.0], [10.0], [1161114004.0], [122.0], [1.492333083e+18], [0.46927268672]],[-0.6045845272206304],-0.1567312
[[5644826667.0], [12.5], [1161114004.0], [122.0], [1.492333084e+18], [0.46955046449777776]],[-0.10315186246418337],-0.1567312
[[5644826669.0], [14.0], [1161114004.0], [122.0], [1.492333085e+18], [0.46982824227555553]],[0.19770773638968483],-0.1567312
[[5644826672.0], [15.5], [1161114004.0], [122.0], [1.492333086e+18], [0.47010602005333335]],[0.498567335243553],-0.1567312
[[5644826767.0], [16.5], [1161114004.0], [122.0], [1.492333087e+18], [0.4703837978311111]],[0.6991404011461319],-0.1567312
[[5644827534.0], [17.5], [1161114004.0], [122.0], [1.492333105e+18], [0.4753837978311111]],[0.8997134670487106],-0.1567312
[[5644828718.0], [16.5], [1161114004.0], [122.0], [1.492333131e+18], [0.4826060200533333]],[0.6991404011461319],-0.1567312
